PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;advertizer.1.0/print_ads_block.php;realpath;2;UNKNOWN;executed;;function ();1;2  $wp_load = realpath("../../../wp-load.php")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/print_ads_block.php&line_mark=2&line_end=2&variable_name=realpath&text=File Functions#target_mark
ource;advertizer.1.0/print_ads_block.php;file_exists;3;UNKNOWN;executed;$wp_load;function ($wp_load);1;3  if(!file_exists($wp_load)) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/print_ads_block.php&line_mark=3&line_end=3&variable_name=file_exists&text=File Functions#target_mark
ource;advertizer.1.0/print_ads_block.php;realpath;4;UNKNOWN;executed;;function ();1;4    $wp_config = realpath("../../../wp-config.php")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/print_ads_block.php&line_mark=4&line_end=4&variable_name=realpath&text=File Functions#target_mark
ource;advertizer.1.0/print_ads_block.php;file_exists;5;UNKNOWN;executed;$wp_config;function ($wp_config);1;5    if (!file_exists($wp_config)) {;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/print_ads_block.php&line_mark=5&line_end=5&variable_name=file_exists&text=File Functions#target_mark
ource;advertizer.1.0/print_ads_block.php;exit;6;Cross Site Scripting;executed;;function ();1;6        exit("Can't find wp-config.php or wp-load.php")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/print_ads_block.php&line_mark=6&line_end=6&variable_name=exit&text=File Functions#target_mark
