PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;advertizer.1.0/js/advertizer.js.php;echo;34;Cross Site Scripting;executed;;function ();1;34  $("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=34&line_end=34&variable_name=echo&text=File Functions#target_mark
ource;advertizer.1.0/js/advertizer.js.php;get_option;34;UNKNOWN;executed;;function ();1;34  $("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=34&line_end=34&variable_name=get_option&text=File Functions#target_mark
ource;advertizer.1.0/js/advertizer.js.php;echo;128;Cross Site Scripting;executed;;function ();1;128      $("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=128&line_end=128&variable_name=echo&text=File Functions#target_mark
ource;advertizer.1.0/js/advertizer.js.php;get_option;128;UNKNOWN;executed;;function ();1;128      $("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=128&line_end=128&variable_name=get_option&text=File Functions#target_mark
ource;advertizer.1.0/js/advertizer.js.php;echo;227;Cross Site Scripting;executed;;function ();1;227      $("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=227&line_end=227&variable_name=echo&text=File Functions#target_mark
ource;advertizer.1.0/js/advertizer.js.php;get_option;227;UNKNOWN;executed;;function ();1;227      $("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=227&line_end=227&variable_name=get_option&text=File Functions#target_mark
ource;advertizer.1.0/js/advertizer.js.php;echo;251;Cross Site Scripting;executed;;function ();1;251   jQuery("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=251&line_end=251&variable_name=echo&text=File Functions#target_mark
ource;advertizer.1.0/js/advertizer.js.php;get_option;251;UNKNOWN;executed;;function ();1;251   jQuery("#existed_ads").load('<?php echo get_option('home')## ?>/wp-content/plugins/advertizer/print_ads_block.php')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/advertizer.1.0/js/advertizer.js.php&line_mark=251&line_end=251&variable_name=get_option&text=File Functions#target_mark
