PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;couponer.1.2/add-coupon.php;echo;5;Cross Site Scripting;executed;$insert;function ($insert);1;5  echo '<div id="couponer_working" style="width:100%##height:100%##padding-top:100px##text-align:center##"><img src="images/working.gif" /><br /><br />Please Wait... Saving Coupon.</div>'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/add-coupon.php&line_mark=5&line_end=5&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/add-coupon.php;$wpdb->query;16;SQL Injection;executed;$insert;function ($insert);1;16  $results = $wpdb->query( $insert )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/add-coupon.php&line_mark=16&line_end=16&variable_name=$wpdb->query&text=File Functions#target_mark
ource;couponer.1.2/add-coupon.php;echo;20;Cross Site Scripting;executed;;function ();1;20      echo '<META HTTP-EQUIV="Refresh" Content="0## URL=/wp-admin/options-general.php?page=couponer">'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/add-coupon.php&line_mark=20&line_end=20&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/add-coupon.php;exit;21;Cross Site Scripting;executed;;function ();1;21      exit##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/add-coupon.php&line_mark=21&line_end=21&variable_name=exit&text=File Functions#target_mark
ource;couponer.1.2/add-coupon.php;echo;25;Cross Site Scripting;executed;;function ();1;25      echo 'ERROR'##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/add-coupon.php&line_mark=25&line_end=25&variable_name=echo&text=File Functions#target_mark
ource;couponer.1.2/add-coupon.php;exit;26;Cross Site Scripting;executed;;function ();1;26      exit##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/add-coupon.php&line_mark=26&line_end=26&variable_name=exit&text=File Functions#target_mark
