PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;couponer.1.2/uninstall.php;$wpdb->query;5;SQL Injection;executed;$couponer;function ($couponer);1;5      $wpdb->query("DROP TABLE IF EXISTS $couponer")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/uninstall.php&line_mark=5&line_end=5&variable_name=$wpdb->query&text=File Functions#target_mark
ource;couponer.1.2/uninstall.php;delete_option;8;UNKNOWN;executed;;function ();1;8      delete_option('Couponer_Logo')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/uninstall.php&line_mark=8&line_end=8&variable_name=delete_option&text=File Functions#target_mark
ource;couponer.1.2/uninstall.php;delete_option;9;UNKNOWN;executed;;function ();1;9      delete_option('couponer_db_version')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/couponer.1.2/uninstall.php&line_mark=9&line_end=9&variable_name=delete_option&text=File Functions#target_mark
