PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;ajaxgallery.3.0/utils/options.php;$wpdb->get_row;64;UNKNOWN;executed;$wpdb, options, $ggId;function ($wpdb, options, $ggId);1;64    $gItem = $wpdb->get_row("SELECT * FROM $wpdb->options WHERE option_name='agItem' and option_id=".$ggId)##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=64&line_end=64&variable_name=$wpdb->get_row&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;split;65;UNKNOWN;executed;$gItem, option_value;function ($gItem, option_value);1;65    $gItemsopc = split( ":", $gItem->option_value )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=65&line_end=65&variable_name=split&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;trim;72;UNKNOWN;executed;$options;function ($options);1;72    $options['isAlbum'] = (trim($options['album']) == "") ? "false" : "true"##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=72&line_end=72&variable_name=trim&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;93;Cross Site Scripting;executed;$i, $i, $thumbsizes, $i;function ($i, $i, $thumbsizes, $i);1;93  <input name="user" type="text" value="<?php echo $options['user']##?>"  /> ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=93&line_end=93&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;100;Cross Site Scripting;executed;$i, $i, $thumbsizes, $i;function ($i, $i, $thumbsizes, $i);1;100  <input name="album" type="text" value="<?php echo $options['album']##?>"  /> ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=100&line_end=100&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;111;Cross Site Scripting;executed;$i, $i, $thumbsizes, $i;function ($i, $i, $thumbsizes, $i);1;111  <input name="rows" type="text" value="<?php echo $options['rows']##?>" /> ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=111&line_end=111&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;118;Cross Site Scripting;executed;$i, $i, $thumbsizes, $i;function ($i, $i, $thumbsizes, $i);1;118  <input name="cols" type="text" value="<?php echo $options['cols']##?>" /> ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=118&line_end=118&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;count;126;UNKNOWN;executed;$thumbsizes;function ($thumbsizes);1;126    <?php for($i=0## $i < count($thumbsizes)## $i++ ){?>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=126&line_end=126&variable_name=count&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;127;Cross Site Scripting;executed;$thumbsizes, $i, $options;function ($thumbsizes, $i, $options);1;127      <option value='<?php echo $thumbsizes[$i]##?>' <?php echo ($thumbsizes[$i] == $options["thumbsize"]) ? "selected" : ""##?>><?php echo $thumbsizes[$i]##?>px</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=127&line_end=127&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;127;Cross Site Scripting;executed;$thumbsizes, $i, $options;function ($thumbsizes, $i, $options);1;127      <option value='<?php echo $thumbsizes[$i]##?>' <?php echo ($thumbsizes[$i] == $options["thumbsize"]) ? "selected" : ""##?>><?php echo $thumbsizes[$i]##?>px</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=127&line_end=127&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;127;Cross Site Scripting;executed;$options;function ($options);1;127      <option value='<?php echo $thumbsizes[$i]##?>' <?php echo ($thumbsizes[$i] == $options["thumbsize"]) ? "selected" : ""##?>><?php echo $thumbsizes[$i]##?>px</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=127&line_end=127&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;136;Cross Site Scripting;executed;$options;function ($options);1;136  	<option value='left' <?php echo ($options['aligntable'] == "left") ? "selected" : ""##?>>Izquierda</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=136&line_end=136&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;137;Cross Site Scripting;executed;$options;function ($options);1;137    <option value='center' <?php echo ($options['aligntable'] == "center") ? "selected" : ""##?>>Centrada</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=137&line_end=137&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;138;Cross Site Scripting;executed;$options;function ($options);1;138    <option value='right' <?php echo ($options['aligntable'] == "right") ? "selected" : ""##?>>Derecha</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=138&line_end=138&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;145;Cross Site Scripting;executed;$options;function ($options);1;145  <input name="pag" type="text" value="<?php echo $options['pag']##?>"  /> ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=145&line_end=145&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;151;Cross Site Scripting;executed;$options;function ($options);1;151  <select name='showp' value="<?php echo $options['showPagination']##?>">;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=151&line_end=151&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;152;Cross Site Scripting;executed;$options;function ($options);1;152  	<option value='true' <?php echo ($options['showPagination'] == "true") ? "selected" : ""##?>>Si</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=152&line_end=152&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;153;Cross Site Scripting;executed;$options;function ($options);1;153    <option value='false' <?php echo ($options['showPagination'] == "false") ? "selected" : ""##?>>No</option>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=153&line_end=153&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;164;Cross Site Scripting;executed;;function ();1;164  <textarea>[ajax_gallery id=<?php echo $ggId##?>]</textarea><br>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=164&line_end=164&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;echo;169;Cross Site Scripting;executed;;function ();1;169  <input name="gId" type="hidden" value="<?php echo $ggId##?>"  /> ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=169&line_end=169&variable_name=echo&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;str_replace;33;UNKNOWN;not executed;$str;filterAlbum ($str);32;33    $str = str_replace( " ", "", $str )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=33&line_end=33&variable_name=str_replace&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;str_replace;34;UNKNOWN;not executed;$str;filterAlbum ($str);32;34    $str = str_replace( ".", "", $str )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=34&line_end=34&variable_name=str_replace&text=File Functions#target_mark
ource;ajaxgallery.3.0/utils/options.php;str_replace;35;UNKNOWN;not executed;$str;filterAlbum ($str);32;35    $str = str_replace( ",", "", $str )##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/ajaxgallery.3.0/utils/options.php&line_mark=35&line_end=35&variable_name=str_replace&text=File Functions#target_mark
