PHP_PLUGIN;PHPI_FILE_BASE;PHPI_SENSITIVE_SINK;PHPI_LINE;PHPI_SENSITIVE_SINK_VULNERABILITY;executed_function_that_calls_the_function;parameters;function_that_calls_the_function;PHPI_START_LINE;lines_of_code;url_link
ource;calendar.1.3.3/calendar.php;$wpdb->get_results;78;UNKNOWN;not executed;$wpdb, prefix, $id;deal_with_deleted_user ($wpdb, prefix, $id);73;78    $wpdb->get_results("UPDATE ".WP_CALENDAR_TABLE." SET event_author=".$wpdb->get_var("SELECT MIN(ID) FROM ".$wpdb->prefix."users",0,0)." WHERE event_author=".mysql_escape_string($id))##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=78&line_end=78&variable_name=$wpdb->get_results&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;$wpdb->get_var;78;UNKNOWN;not executed;$wpdb, prefix;deal_with_deleted_user ($wpdb, prefix);73;78    $wpdb->get_results("UPDATE ".WP_CALENDAR_TABLE." SET event_author=".$wpdb->get_var("SELECT MIN(ID) FROM ".$wpdb->prefix."users",0,0)." WHERE event_author=".mysql_escape_string($id))##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=78&line_end=78&variable_name=$wpdb->get_var&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;mysql_escape_string;78;UNKNOWN;not executed;$id;deal_with_deleted_user ($id);73;78    $wpdb->get_results("UPDATE ".WP_CALENDAR_TABLE." SET event_author=".$wpdb->get_var("SELECT MIN(ID) FROM ".$wpdb->prefix."users",0,0)." WHERE event_author=".mysql_escape_string($id))##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=78&line_end=78&variable_name=mysql_escape_string&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;time;84;UNKNOWN;executed;;ctwo ();82;84    return (time()+(3600*(get_option('gmt_offset'))))##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=84&line_end=84&variable_name=time&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;get_option;84;UNKNOWN;executed;;ctwo ();82;84    return (time()+(3600*(get_option('gmt_offset'))))##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=84&line_end=84&variable_name=get_option&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;$wpdb->get_var;92;UNKNOWN;not executed;;calendar_wp_head ();88;92    $style = $wpdb->get_var("SELECT config_value FROM " . WP_CALENDAR_CONFIG_TABLE . " WHERE config_item='calendar_style'")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=92&line_end=92&variable_name=$wpdb->get_var&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;echo;95;Cross Site Scripting;not executed;$style;calendar_wp_head ($style);88;95  	  echo '<style type="text/css">;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=95&line_end=95&variable_name=echo&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;echo;97;Cross Site Scripting;not executed;$style;calendar_wp_head ($style);88;97            echo stripslashes($style).';http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=97&line_end=97&variable_name=echo&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;stripslashes;97;Cross Site Scripting;not executed;$style;calendar_wp_head ($style);88;97            echo stripslashes($style).';http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=97&line_end=97&variable_name=stripslashes&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;echo;99;Cross Site Scripting;not executed;;calendar_wp_head ();88;99  	  echo '</style>;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=99&line_end=99&variable_name=echo&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;$wpdb->get_results;113;UNKNOWN;not executed;;calendar_menu ();105;113    $configs = $wpdb->get_results("SELECT config_value FROM " . WP_CALENDAR_CONFIG_TABLE . " WHERE config_item='can_manage_events'")##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=113&line_end=113&variable_name=$wpdb->get_results&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;function_exists;123;UNKNOWN;not executed;;calendar_menu ();105;123     if (function_exists('add_menu_page')) ;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=123&line_end=123&variable_name=function_exists&text=File Functions#target_mark
ource;calendar.1.3.3/calendar.php;add_menu_page;125;UNKNOWN;not executed;$allowed_group;calendar_menu ($allowed_group);105;125         add_menu_page(__('Calendar','calendar'), __('Calendar','calendar'), $allowed_group, 'calendar', 'edit_calendar')##;http://localhost:80/phpSAFE2e/show_php_file.php?file=C:/xampp74/htdocs/phpSAFE2e/source/calendar.1.3.3/calendar.php&line_mark=125&line_end=125&variable_name=add_menu_page&text=File Functions#target_mark
